"","x"
"670",0
"671",0
"672",0
"673",143.051553426659
"674",1285.37563699429
"675",1133.97070818505
"676",24.0159542249136
"677",383.211095675795
"678",0
"679",42.8110488357155
"680",258.954636859938
"681",68.9153469062738
"682",57.4294557552282
"683",134.698178044081
"684",22.9717823020913
"685",11.4858911510456
"686",69.9595188290961
"687",0
"688",223.452791483979
"689",489.716631803673
"690",0
"691",0
"692",0
"693",313.251576846699
"694",20.8834384564466
"695",92.9313011311874
"696",0
"697",0
"698",737.185377512565
"699",0
"700",9.39754730540097
"701",0
"702",0
"703",1.04417192282233
"704",0
"705",0
"706",0
"707",13.5742349966903
"708",76.2245503660301
"709",22.9717823020913
"710",0
"711",0
"712",373.813548370394
"713",11.4858911510456
"714",211.966900332933
"715",0
"716",454.214786427714
"717",2.08834384564466
"718",0
"719",9.39754730540097
"720",2.08834384564466
"721",0
"722",0
"723",0
"724",55.3411119095835
"725",0
"726",61.6061434465175
"727",32.3693296074922
"728",0
"729",0
"730",61.6061434465175
"731",0
"732",0
"733",0
"734",0
"735",0
"736",14.6184069195126
"737",3.13251576846699
"738",1.04417192282233
"739",0
"740",1.04417192282233
"741",0
"742",289.235622621786
"743",0
"744",0
"745",0
"746",0
"747",0
"748",315.339920692344
"749",1363.68853120596
"750",48.0319084498272
"751",0
"752",0
"753",0
"754",0
"755",343.532562608547
"756",3.13251576846699
"757",6.26503153693398
"758",123.212286893035
"759",0
"760",1.04417192282233
"761",6.26503153693398
"762",0
"763",397.829502595308
"764",0
"765",81.4454099801418
"766",251.645433400182
"767",0
"768",10.4417192282233
"769",0
"770",0
"771",6.26503153693398
"772",0
"773",88.7546134398981
"774",0
"775",0
"776",8.35337538257864
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",375.901892216039
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",2.08834384564466
"800",79.3570661344971
"801",0
"802",7.30920345975631
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",1584.00880692148
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",0
"826",0
"827",58.4736276780505
"828",0
"829",0
"830",0
"831",0
"832",0
"833",0
"834",0
"835",1.04417192282233
"836",79.3570661344971
"837",151.404928809238
"838",0
"839",0
"840",0
"841",0
"842",1.04417192282233
"843",0
"844",0
"845",0
"846",3.13251576846699
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",0
"856",0
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",549.234431404546
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",77.2687222888525
"877",0
"878",0
"879",0
"880",0
"881",0
"882",1141.27991164481
"883",0
"884",721.52279867023
